STATE,FIPS,1995_ENROLL,1995_TOTAL_REVENUE,1995_FEDERAL_REVENUE,1995_TOTAL_EXPENDITURE,1995_INSTRUCTION_EXPENDITURE,2000_ENROLL,2000_TOTAL_REVENUE,2000_FEDERAL_REVENUE,2000_TOTAL_EXPENDITURE,2000_INSTRUCTION_EXPENDITURE,2003_ENROLL,2003_TOTAL_REVENUE,2003_FEDERAL_REVENUE,2003_TOTAL_EXPENDITURE,2003_INSTRUCTION_EXPENDITURE,2005_ENROLL,2005_TOTAL_REVENUE,2005_FEDERAL_REVENUE,2005_TOTAL_EXPENDITURE,2005_INSTRUCTION_EXPENDITURE,2007_ENROLL,2007_TOTAL_REVENUE,2007_FEDERAL_REVENUE,2007_TOTAL_EXPENDITURE,2007_INSTRUCTION_EXPENDITURE,2009_ENROLL,2009_TOTAL_REVENUE,2009_FEDERAL_REVENUE,2009_TOTAL_EXPENDITURE,2009_INSTRUCTION_EXPENDITURE,2010_ENROLL,2010_TOTAL_REVENUE,2010_FEDERAL_REVENUE,2010_TOTAL_EXPENDITURE,2010_INSTRUCTION_EXPENDITURE,2011_ENROLL,2011_TOTAL_REVENUE,2011_FEDERAL_REVENUE,2011_TOTAL_EXPENDITURE,2011_INSTRUCTION_EXPENDITURE,2013_ENROLL,2013_TOTAL_REVENUE,2013_FEDERAL_REVENUE,2013_TOTAL_EXPENDITURE,2013_INSTRUCTION_EXPENDITURE,2015_ENROLL,2015_TOTAL_REVENUE,2015_FEDERAL_REVENUE,2015_TOTAL_EXPENDITURE,2015_INSTRUCTION_EXPENDITURE
ALABAMA,01,727480,3367437,328957,3353363,1851700,730184,4885917,425978,5003267,2551713,727900,5196054,567704,5298932,2817111,729342,5889966,665924,5904664,3053380,743273,7069040,689072,7196459,3653466,745668,7186390,728795,7815467,3836398,748889,7281058,1134111,7647571,3900492,746933,7376725,1077070,7411768,3844055,744548,7197439,811739,7487741,3747993,734974,7360222,795238,7501799,3817479
ALASKA,02,125421,1117068,123037,1203817,515914,132822,1313510,199520,1386904,717725,133303,1425948,259423,1610289,763525,132568,1599739,302846,1751718,829666,132197,1800616,282270,1938755,927307,130236,2158970,312667,2396412,1129756,131265,2230338,366970,2371251,1151630,131704,2357828,420152,2443898,1215062,131091,2545117,320938,2665933,1324649,130755,2920986,344111,2968341,1484610
ARIZONA,04,735018,3815218,376437,4056279,1772388,814807,5479168,534619,5397194,2488932,875111,6529894,740579,6210287,2810907,919875,7550109,897553,7136794,3423716,969875,8724434,953861,8709531,3977800,981303,8802515,1044140,9580393,4296503,963517,8828122,1579806,8812967,4223152,946571,8429186,1245814,8610417,3977772,941726,8164324,1178356,7600581,3824071,944978,8230507,1093834,7902600,3846357
ARKANSAS,05,447757,2057550,197556,2155067,1211057,450751,2844855,254735,2683400,1531232,450158,3241275,379947,3242799,1768713,461667,3978240,447012,3999608,2118580,474532,4415981,483689,4779308,2337748,474423,4753142,534510,5017352,2417974,474897,5069272,787738,5520387,2521528,475551,5176362,827026,5669431,2559292,477716,5067546,572096,5226339,2545564,479682,5308625,581412,5350543,2620399
CALIFORNIA,06,5299405,29512214,2612241,30097549,16146416,5941946,46628207,4024940,45829753,23514388,6226552,59815855,5795655,59749885,29561563,6307022,62171797,7148863,66196072,31070450,6288686,72516936,7200298,73225422,34685013,6234155,73958896,9745250,74766086,35617964,6213958,67356719,9715980,71227111,34657275,6202604,70953331,9990221,69847705,34225248,6208733,68868516,7836263,69727119,34194878,6226523,78248042,7556365,78365958,38951948
COLORADO,08,639805,3709875,201341,3766191,1896225,707436,5073266,266207,5444193,2539372,751049,6297242,400219,6685029,3168745,765388,6910296,472246,7284280,3380399,790211,7689014,529854,8039146,3782300,812068,8310673,560538,8682489,4108304,825242,8793676,714230,8914338,4232076,834832,8747471,969288,8676451,4204486,851063,8826868,696266,8699125,4292898,872320,9648297,715254,9557682,4578938
CONNECTICUT,09,489513,4420632,147466,4252186,2596475,530363,5884078,234321,5605280,3189123,548466,6959891,351001,6751815,3721466,552512,7898694,401558,7452057,4177845,549230,8913149,386553,8685421,4610572,539250,9681268,403017,9323053,5054397,534800,9726922,818573,9542108,5242817,530132,9783168,796156,9439182,5363942,517812,10319361,434543,9758850,5562212,505366,11099837,444073,10542667,6006275
DELAWARE,10,106813,802018,51682,772669,431433,112743,1098555,69540,1040480,571982,111282,1242436,91986,1317447,673997,112562,1431710,106513,1480157,761786,114678,1694929,102114,1705204,825084,116804,1718993,109682,1798244,877678,117628,1733458,180584,1758988,901200,119878,1759170,192182,1808905,964284,118685,1930466,151096,1924626,1030897,121845,2017075,137544,1975093,1072395
DISTRICT_OF_COLUMBIA,11,80450,700111,65527,708224,336543,70762,881423,184825,858807,318260,67522,1114061,152599,1105963,473414,62306,1109605,167922,1085658,459063,56943,1148358,134700,1140506,491992,44331,801008,75856,805362,330698,43866,1195934,80585,1290048,526469,44199,1283071,155505,1297175,525185,44179,1300036,129874,1308438,559940,46155,1382282,146366,1360942,557345
FLORIDA,12,2107514,13242710,938814,13473977,6113051,2377271,17558787,1398757,17180954,7751117,2536699,19549835,1956803,20180142,9622598,2645280,23216404,2328513,23857012,11270907,2656176,28898362,2489027,29849892,13476109,2623067,26494500,2694566,28867429,13884278,2627390,26231141,4200103,27267009,13869921,2636404,26453693,4710376,26991946,14284224,2680074,24681548,3027018,25245400,13833236,2743641,26971491,3118041,27277049,14931173
GEORGIA,13,1270948,7052825,458452,7292267,3813194,1422941,11197766,710741,10884510,5701293,1495819,13524807,1051973,13516783,7352918,1552758,14724731,1375318,14492666,7886069,1628409,17755989,1475463,17389530,9507096,1649598,17972839,1644548,19025136,10063924,1660643,17839851,2598486,17834488,9841382,1666039,18030043,2267161,17187481,9671343,1682620,17459504,1805878,17317504,9555687,1717805,18584666,1831221,18501103,10081483
HAWAII,15,183869,1173579,82547,1157159,636952,185860,1404895,127042,1363511,765134,183829,2078877,170377,1602392,888473,183185,2274166,236973,1765805,1007207,180728,2985593,256696,2199604,1177781,179478,2689758,392837,2318671,1402305,180196,2564856,382400,2215458,1321657,179601,2499513,347363,2259104,1253534,184760,2331770,310778,2345917,1283872,182384,2703683,259390,2521004,1377713
IDAHO,16,240448,1083215,80861,1108075,602038,245226,1452222,109898,1467977,798629,248515,1685984,162530,1726941,924434,253782,1796035,192039,1819519,989703,262935,2011951,202977,1960472,1069134,267951,2182273,218777,2078446,1157633,266613,2177999,444112,2098737,1159932,265713,2089982,292602,1960818,1104553,272070,2015534,237912,1967676,1113400,274131,2167967,232449,2029520,1130814
ILLINOIS,17,1897161,12236673,686758,11821661,6031588,2003839,17595047,1283052,18073190,8738312,2062664,19627346,1618724,21278177,10409933,2072437,21611180,1835598,22035569,11063949,2101075,23897153,1862627,23401917,11692204,2117291,26987426,3346509,27716187,13520105,2098401,28253620,3809939,28560306,14668228,2072114,29507584,2894897,28525858,14636402,2069823,30057886,2311235,29517831,15285224,2047123,32096832,2262192,32410033,17313173
INDIANA,18,966622,6514934,292362,6377558,3145120,987214,8489991,426266,8518477,4143020,999713,8246076,582940,9777720,4785880,1014528,11653165,708922,11071431,5343758,1034588,10458932,765168,11462062,5511104,1028259,12999357,1403839,11218398,5548292,1026053,14023240,1477561,11502534,5746633,1023220,12125155,1024389,11113533,5609296,1002772,12236713,980013,11211155,5535933,1004215,12456571,929878,11378564,5537406
IOWA,19,498837,3076971,141050,3100772,1614502,497301,3822452,217060,3974813,1906755,482210,4374803,304688,4517990,2157225,478319,4638125,363930,4599549,2323233,483122,5194536,390585,5198975,2557629,487559,5732319,431142,5732186,2914176,491255,5744872,728361,5941449,2970150,493493,6098470,596688,6057294,2995991,499489,6281345,459132,6318241,3174989,505311,6714410,458457,6772654,3383909
KANSAS,20,460905,2826943,137424,2756682,1407359,469377,3518271,221530,3327090,1661540,470264,4068800,311152,3818740,2068389,468481,4223632,356865,4076597,2174402,468974,5038100,346441,4823931,2602503,470445,5615208,378810,5827751,2883104,471406,5454128,673692,5979429,2837948,482692,5538869,612100,5662146,2839803,488590,5667223,420820,5621023,2969201,496920,5991731,475273,6175724,3051755
KENTUCKY,21,639992,3508673,312742,3415870,1890546,646467,4330089,426956,4510972,2345581,660782,4872025,503734,4700494,2688476,674502,5444309,646215,5750671,2864633,646360,6226696,677570,6351636,3184235,669858,6706922,719997,6831006,3468191,679901,6881951,1059915,7092071,3616584,672958,7104589,1164688,7253850,3663998,685009,7216175,867735,7413896,3663594,688475,7548871,848963,7554887,3807748
LOUISIANA,22,797061,3791795,449360,3735603,2050103,750755,4785331,556240,4807097,2601684,723252,5478321,739078,5515322,3009591,717625,5975074,844640,5941561,3264689,662302,7048732,1234006,6657341,3430268,662774,7984550,1238259,8053960,4051985,663802,8091029,1549575,8125021,4136550,665109,8022917,1497262,8218870,4162557,671156,8121179,1229248,7940880,3963343,661015,8448743,1235580,8437263,4100906
MAINE,23,212154,1446745,78233,1438795,833366,209012,1792390,104497,1842276,1053067,203848,2162605,163516,2154117,1255095,198745,2324789,197651,2325138,1355800,193539,2538161,198101,2501127,1459635,187372,2623127,245063,2624504,1383650,187634,2721365,320917,2680693,1421800,186835,2654366,289290,2728535,1431522,184682,2650346,196466,2535405,1351259,176176,2739589,183883,2596180,1406898
MARYLAND,24,790938,5580123,270249,5610071,3064702,846582,7419047,409021,7355698,3874590,866743,8700979,571108,8732518,4738579,865561,9906219,670998,9782665,5154440,851640,11674965,661677,11541225,6031042,843781,13147931,694846,12757599,6899346,848252,13327770,1004498,13205691,7147880,851971,13443940,1255964,13247697,7205515,859252,13814727,828432,13284637,7303090,874108,14491642,819162,13882823,7686024
MASSACHUSETTS,25,893727,7326904,265878,6706082,3681274,958907,9464271,480898,9466363,5624037,967200,11591832,712487,11382398,6521028,955225,12976279,761359,12726283,7203922,945070,14407777,754202,14315518,8053653,932437,15298022,1181681,15174814,8885949,929569,14919763,1092892,14857823,8479433,924903,15396681,1197383,15150898,8685894,920968,16114783,818054,16201905,9097982,916130,16985185,778939,16972319,9774884
MICHIGAN,26,1604527,12500208,692600,12477806,6162390,1700074,15939477,1030238,16580526,7709336,1764327,18488359,1357006,19680370,8725075,1721351,19106382,1513264,20489512,9269314,1686473,20576110,1541818,19839838,9608836,1537515,19616665,2094714,19992550,9422685,1510716,19393461,2383817,19967017,9457233,1455966,19374026,2525528,18469948,9198775,1381167,18270327,1636324,17468264,8885537,1345009,19025996,1582706,17742903,9040821
MINNESOTA,27,816695,5744447,235069,6155324,3109813,839839,7344747,330914,7736391,3825732,825674,8484497,463746,8938770,4318736,814660,8777363,529037,9082593,4637773,810104,9693509,546297,10030105,5048143,800831,10353784,575703,11193640,5815987,799615,10383935,1245368,10564774,5676045,798891,10912368,842906,10612480,5644771,802454,10848720,646542,10942019,5826404,807044,11684249,629909,11969872,6257807
MISSISSIPPI,28,503301,2118973,310290,2160068,1189394,499362,2743284,368830,2996474,1524728,491623,3260771,482904,3205193,1702193,494382,3639643,552628,3610904,1935459,494135,4220926,712846,4158733,2160396,491194,4392101,675576,4552756,2317710,491651,4466377,945973,4504257,2337184,490526,4516742,1006465,4345783,2238165,492847,4444064,707522,4370050,2274357,490189,4592343,672366,4624539,2350872
MISSOURI,29,862505,4852467,313295,4957215,2573557,913517,6675260,437898,6708608,3459281,921625,7622601,559732,7905481,4087984,902659,8340865,694008,8170965,4224716,910142,8908844,730811,9245525,4743390,893807,9472520,758650,10227305,5175127,897348,9587703,1430854,10139784,5237387,896702,9915356,1344755,9842505,5100879,897224,10103589,894168,10001763,5139610,892779,10623391,948600,10540353,5387766
MONTANA,30,164109,911284,89446,899635,523380,157381,1104935,130928,1051768,613132,149801,1205602,171819,1214879,687104,146552,1293070,191687,1268328,721019,144258,1474306,190631,1442434,793711,141782,1607935,195705,1622485,855803,141693,1623971,256049,1642886,895727,141529,1631810,264517,1655584,902615,142797,1671053,210593,1679521,907018,144447,1804339,214980,1804841,940488
NEBRASKA,31,285836,1832463,102783,1874253,1041372,287566,2263952,152143,2165529,1188826,283934,2600831,225861,2623966,1414919,284553,2895640,295968,2708776,1487488,287135,3234014,298196,3117931,1673992,292161,3522481,297732,3523803,1887427,294948,3720560,465728,3640199,2089854,297659,3879388,571969,3676326,2101943,303242,3870164,366241,3913038,2318463,312281,4248695,344382,4283846,2446701
NEVADA,32,250749,1367710,65007,1381200,705709,325610,2252416,110210,2437438,1114489,369498,2778564,191839,3009028,1406660,399727,3381646,251421,3483540,1665706,422782,4006081,277849,4346371,2047045,430985,4442101,425133,4577881,2145779,423859,4262471,358496,4260869,2117135,429610,4146577,447002,4258855,2161550,431776,4131800,392009,4057443,2058538,438948,4345419,395630,4183085,2170424
NEW_HAMPSHIRE,33,186239,1197945,35162,1232465,676601,203178,1586869,54657,1640395,902062,203702,2028602,101294,2122604,1119824,202223,2332695,125956,2333264,1261140,198625,2600123,137058,2608190,1395619,197024,2816162,146867,2757401,1546316,196648,2906573,185175,2856965,1612216,189275,2947007,184768,3001244,1654129,187703,2976317,163890,2878534,1642945,183039,3093061,164905,3044720,1697165
NEW_JERSEY,34,1171658,11870183,397612,11961696,6065026,1279542,15651060,578978,15907248,8244717,1350330,19785039,797717,19812932,10169992,1368959,23026334,937945,23023365,11575456,1363804,25293076,991769,25572112,13250745,1354912,26510413,1014556,26145334,13800343,1369553,26676217,2386865,26736651,14481471,1399409,26242376,1283994,25716298,14113108,1338657,28070096,1145079,28179900,15489942,1339230,29335237,1154004,28809725,15339450
NEW_MEXICO,35,327253,1646265,205847,1540683,774207,324489,2191695,296222,2165031,1048533,320264,2626262,383513,2658140,1239571,326102,2982991,480888,3011696,1395996,327816,3272953,444466,3279467,1610295,328737,3703477,519973,3945515,1807514,331436,3638606,753816,3814058,1800983,331373,3591330,636436,3694437,1744548,327209,3518621,519318,3536546,1709797,326297,3789651,499789,3846641,1773801
NEW_YORK,36,2738361,25063999,1368074,26540967,15693535,2861478,31906526,1938590,33683043,19856637,2879228,38033080,2591430,41603390,24786376,2816426,43936450,3156023,45086872,27866708,2754976,50762544,3269310,51253984,31465706,2696688,55885116,3197833,57851481,35195372,2697357,55453300,3694050,60067253,36628097,2677412,57753776,5118477,59446908,37834196,2629805,59623918,3335657,60505950,38756656,2631532,63712218,2869847,65094591,41954260
NORTH_CAROLINA,37,1155248,6076939,443689,6217951,3417870,1261586,9064700,622184,9275837,4854623,1314632,9907235,888996,9989670,5517870,1347177,11098165,1116670,10917913,6160224,1416028,13063307,1184934,12794086,6987589,1452064,15410564,1377661,14868070,7943541,1444409,16621268,1927843,14162497,7637844,1448117,14409515,2046954,13767024,7566249,1468228,12729402,1579889,13650536,7681386,1465031,13146934,1589570,14060699,7960222
NORTH_DAKOTA,38,119288,642234,72116,621904,327382,112349,812982,96940,802768,402602,103785,882913,126023,895278,448720,100413,969520,148482,985502,501563,96577,1045678,150165,1042175,523778,94653,1150142,160294,1137260,579830,94997,1308214,277985,1267426,627378,96255,1309044,186844,1312226,660944,101025,1405349,145905,1516575,718970,106061,1644533,158373,1804762,825445
OHIO,39,1829761,11368650,675770,11330046,6041768,1822566,15327834,843432,14909952,7497388,1803966,18018740,1097349,18760200,8958790,1778784,19746239,1413888,19785561,9700668,1758645,22142424,1461326,21336580,10202242,1729072,22779344,1531263,22427481,10734314,1669748,23247907,2310440,22701333,10976072,1655534,23488657,2533882,23010396,11074360,1613718,22536516,1721213,22015797,10800145,1600222,24378660,1676820,22561728,11620080
OKLAHOMA,40,609743,3156526,274027,3180275,1623941,627032,3906833,377776,3876871,1928222,624202,4426835,563974,4376502,2158574,629145,4892548,678448,4785987,2303527,639032,5491931,650579,5505213,2688963,644549,6029807,768972,5941799,2836912,653592,5778507,768319,5971651,2900568,658163,5835133,968529,5644988,2866601,671445,5878111,715944,5796945,2800189,671715,6121188,688990,6184819,3000894
OREGON,41,519284,3302062,224156,3255984,1789292,542739,4369400,268568,4398318,2288931,552135,4592019,407432,4978764,2458415,550502,5022050,498217,5597579,2671228,559643,5648586,526411,5634955,2999104,560726,6158756,656298,6715011,3291310,560239,6219779,813110,6398065,3246437,559631,6112484,848637,6317635,3261190,564006,6077498,471682,6228197,3261733,570376,7111710,577106,7011609,3650855
PENNSYLVANIA,42,1741698,13957035,714271,14135826,7562476,1782444,17090654,1022578,17861852,8818088,1757066,19811545,1419644,20626459,10151195,1755560,22657782,1750988,23183924,11284717,1760451,25334577,1821479,25627083,11994620,1687145,26755585,1811141,27328680,12803821,1682887,27883991,2977089,28231191,13442543,1670854,28492510,3371827,28810721,13761915,1623694,28484645,2049113,28495118,15456205,1589429,29967185,1857885,29690645,16058338
RHODE_ISLAND,44,146609,1089859,55060,1056716,677240,155351,1464820,81655,1388454,845667,157286,1728055,109011,1646238,971700,153596,1903472,145957,1790591,1023496,147861,2100679,165167,2082332,1177636,141521,2179714,206225,2171376,1224158,141023,2207123,247217,2187163,1238257,139157,2212352,234111,2198940,1260021,136401,2282659,193393,2231413,1265936,134574,2367068,184718,2326473,1322055
SOUTH_CAROLINA,45,638880,3389646,288860,3286673,1707358,666780,4690418,366587,4961392,2426139,691736,5709707,535356,6024747,2888468,701176,6337711,639308,6572191,3134658,701580,7130274,680718,7660995,3481608,714290,7669733,734602,8427391,3854229,715590,7755419,1058473,8242553,3797945,713511,7772777,1041572,7961448,3689782,722249,8254462,814137,8224795,3933177,737401,8759944,836137,8783362,4123140
SOUTH_DAKOTA,46,135494,684882,65762,693964,380309,130279,868161,105960,898609,443779,127632,965778,148498,993823,499480,124862,1053504,176738,1059303,539413,121158,1136570,174096,1096568,573916,126624,1258876,201889,1273527,645912,123555,1292742,250554,1281632,660064,125613,1297661,262395,1350617,661519,130296,1316613,194731,1332496,663258,132836,1415149,206853,1464781,709363
TENNESSEE,47,870594,3870164,332765,3958973,2245634,907222,5338531,462000,5805181,3166208,905050,5994756,608447,6482671,3621601,940769,6806262,787269,7067521,4120045,978084,7617488,805633,7817659,4473035,971484,8112895,870374,8611178,4809809,971414,8405025,1094293,8760367,4934044,986382,8679893,1272825,8961443,4947165,992461,9008032,1165801,9248235,5191269,994530,9455920,1122775,9562527,5343272
TEXAS,48,3670007,20483376,1496378,20198924,10652067,3965971,28918934,2406972,31067935,15018072,4201914,35143236,3360082,37333674,18009879,4334611,37783715,4095588,40302144,18950703,4513835,44355326,4423644,45920825,21061312,4647205,48087531,4913841,53575273,23895853,4728815,50559500,7984614,53810244,25097921,4800196,51023159,7818075,52691826,25155007,4897523,49734537,5695947,50674724,24226519,5004866,55582029,5830972,56255791,26745844
UTAH,49,472589,1953833,134118,2045331,1069735,477835,2546642,189502,2478420,1355794,483066,2875622,263030,2957874,1508566,488055,3181279,326400,3188018,1632553,504079,3656090,343915,3618540,1816456,532433,4238943,535223,4419750,2169434,538676,4250259,570301,4326951,2117551,545395,4141253,500782,4195916,2157337,562315,4300793,409774,4584624,2361179,573913,4705084,400213,4537962,2367650
VERMONT,50,100317,934916,33672,891398,415719,99609,1211370,65052,1193813,555740,94901,1451171,79956,1440961,662999,92819,1628681,95016,1634534,739981,89329,1836316,97086,1804519,800453,86320,1683034,102453,1661019,859433,87750,1749898,173528,1719870,890606,86982,1686499,106823,1722515,888388,89200,1817307,114697,1809138,935593,85184,1996795,105333,1969415,983532
VIRGINIA,51,1060809,6354418,368088,6590998,3452911,1132673,8911426,491873,9154676,4823780,1175458,10504167,698716,10746679,5661291,1203697,12182657,826830,12385157,6565022,1220440,14176385,890144,14700853,7630837,1235064,15251481,914507,15510318,8194237,1244673,14937195,1532041,14919831,8049137,1250852,14655345,1427301,14675815,7861076,1264880,15322318,1108879,15634918,8445746,1279867,15857524,1012205,16113212,8755896
WASHINGTON,53,938314,5985425,345792,6200754,3078586,1003714,7620930,543966,7811937,3818756,1014577,8565636,702469,8802387,4332487,1019925,9141383,796450,9399603,4629347,1026121,10350748,801339,10682397,5148806,1035907,12025012,1385421,12240632,5984072,1034735,11919090,1400984,11820814,5934710,1042979,11905941,1367629,11928408,6007184,1050901,12242231,1042200,12097549,5911337,1072359,13709442,1036422,13630138,6508964
WEST_VIRGINIA,54,310231,1916605,155738,1925100,1104307,290982,2243151,210082,2243563,1271988,281591,2497707,267470,2524444,1420396,279456,2701056,329159,2698703,1524187,281298,2905489,353571,2983267,1608247,281908,3097212,355325,3121728,1759397,281828,3176874,513794,3484593,1978226,282130,3475642,510256,3670119,2010407,282310,3486366,383169,3488877,1828234,279565,3478401,362959,3466981,1819903
WISCONSIN,55,865374,6006745,248319,6056854,3425341,877165,7848352,354829,8183251,4225688,875390,8931497,530014,9128279,4844788,869301,9584108,565072,9433502,5128207,870584,10154985,574090,9988878,5459295,867035,10991081,1258519,10880480,5857285,864898,11289720,1115342,11116821,5994721,864251,11664303,1002909,11440718,6138402,863737,11097447,827432,10845059,5637545,861813,11637376,814385,11553677,5723474
WYOMING,56,100314,634237,42456,642935,357039,91883,787323,66085,769923,417424,85966,962240,84308,915515,473447,84146,1132160,106484,1033603,510498,85034,1477891,111051,1390344,661713,86971,1675761,108333,1658156,744877,87379,1718605,123942,1696177,787627,88165,1650621,154955,1656850,825783,91533,1695967,113501,1675477,846872,93867,1962874,120290,1942406,895910